mean	sd	2.5%	97.5%	Rhat	n.eff
theta[8,2]	-0.059	0.1848	-0.4446	0.2955	1.0013	6100
theta[9,2]	0.0196	0.2326	-0.4354	0.5093	1.001	20000
theta[10,2]	0.0956	0.2108	-0.2721	0.5638	1.0011	10000
theta[11,2]	-0.0473	0.1838	-0.4294	0.3017	1.001	27000
theta[12,2]	0.048	0.2196	-0.365	0.5238	1.0009	27000
theta[13,2]	-0.0615	0.1149	-0.2895	0.1627	1.0011	11000
theta[14,2]	-0.2538	0.3701	-0.975	0.4753	1.0011	15000
theta[15,2]	-0.2685	0.3958	-1.0495	0.5101	1.001	27000
theta[1,2]	-0.2916	0.3048	-0.9157	0.2863	1.0019	2100
theta[2,2]	-0.2681	0.2477	-0.754	0.2165	1.0016	3000
theta[3,2]	-0.5707	0.1871	-0.9688	-0.2272	1.001	27000
theta[4,2]	-0.5351	0.166	-0.862	-0.1997	1.001	27000
theta[5,2]	-0.5251	0.2042	-0.9547	-0.1363	1.001	27000
theta[6,2]	-0.4477	0.1906	-0.8085	-0.053	1.0011	15000
theta[7,2]	-0.5509	0.1611	-0.8674	-0.2254	1.001	27000
theta[8,2]	-0.481	0.1686	-0.8097	-0.1459	1.0011	13000
theta[9,2]	-0.211	0.2409	-0.7039	0.2439	1.001	24000
theta[10,2]	0.1159	0.1905	-0.242	0.5146	1.0011	16000
theta[11,2]	-0.123	0.2368	-0.5871	0.3379	1.001	27000
theta[12,2]	-0.4402	0.1365	-0.6908	-0.1577	1.001	27000
theta[13,2]	0.5225	0.293	-0.017	1.1395	1.0009	27000
theta[14,2]	-0.5747	0.2699	-1.1104	-0.0498	1.0011	13000
theta[15,2]	-0.4784	0.1949	-0.8594	-0.0836	1.0011	10000
theta[16,2]	-0.6321	0.1914	-1.0468	-0.2849	1.0012	9400
theta[17,2]	0.1001	0.1673	-0.226	0.435	1.0011	18000
theta[18,2]	-0.0089	0.3069	-0.5987	0.6173	1.0012	9400
theta[19,2]	0.3222	0.3283	-0.3232	0.9719	1.0016	3200
theta[20,2]	0.2611	0.3101	-0.359	0.8623	1.0018	2500
theta[21,2]	-0.2499	0.4781	-1.1586	0.6985	1.0019	2000
theta[17,3]	-0.5102	0.1713	-0.8546	-0.1785	1.001	19000
theta[18,3]	-0.5695	0.2981	-1.1711	0.0159	1.001	20000
theta[19,3]	0.3301	0.2945	-0.2194	0.9319	1.0017	2600
theta[20,3]	0.253	0.2765	-0.2797	0.8027	1.0016	2900
theta[21,3]	-0.7031	0.4586	-1.5649	0.2268	1.0015	3600
theta[19,4]	-0.2063	0.2837	-0.7486	0.366	1.0012	6600
theta[20,4]	-0.2105	0.2627	-0.7117	0.3113	1.0014	4000
theta[21,4]	-0.9149	0.4621	-1.8051	0.0078	1.0013	4900
theta[1,2]	-0.2251	0.175	-0.558	0.1356	1.001	27000
theta[2,2]	-0.1306	0.2083	-0.494	0.3326	1.0011	13000
theta[3,2]	-0.305	0.1755	-0.6624	0.0305	1.0017	2600
theta[4,2]	-0.3676	0.181	-0.7518	-0.038	1.001	27000
theta[5,2]	-0.3176	0.1753	-0.6785	0.0179	1.0013	6000
theta[6,2]	-0.4794	0.3401	-1.1535	0.1764	1.0009	27000
theta[1,2]	-1.086	0.497	-2.0658	-0.1149	1.001	27000
theta[2,2]	-1.2344	0.4483	-2.1149	-0.3475	1.0012	8800
theta[3,2]	-2.1745	0.414	-3.0109	-1.3881	1.001	27000
theta[4,2]	-0.8994	0.3189	-1.521	-0.2784	1.0011	12000
theta[5,2]	-2.0214	0.2683	-2.5642	-1.5066	1.0013	6400
theta[6,2]	-1.0196	0.3242	-1.6505	-0.3824	1.0011	12000
theta[7,2]	-1.3908	0.312	-2.0164	-0.7926	1.001	23000
theta[8,2]	-0.5161	0.2433	-0.9962	-0.0412	1.001	27000
theta[9,2]	-0.8848	0.2416	-1.3719	-0.418	1.0013	5000
theta[1,2]	0.4283	0.2427	-0.0307	0.9302	1.001	27000
theta[2,2]	-1.5827	0.3489	-2.2441	-0.8732	1.0011	13000
theta[3,2]	1.4945	0.2419	1.0419	1.9949	1.001	24000
theta[4,2]	1.0474	0.1693	0.7035	1.3661	1.001	27000
theta[5,2]	-0.7117	0.2085	-1.1233	-0.3017	1.001	20000
theta[6,2]	-0.0919	0.2234	-0.5338	0.3422	1.0011	15000
theta[7,2]	-0.8323	0.2911	-1.4142	-0.2668	1.001	27000
theta[8,2]	-1.083	0.15	-1.3825	-0.7915	1.001	27000
theta[9,2]	-1.2102	0.1689	-1.5463	-0.8871	1.0011	15000
theta[8,3]	0.1635	0.1151	-0.0654	0.3895	1.0011	14000
theta[9,3]	0.494	0.1243	0.251	0.7403	1.001	27000
theta[9,4]	-1.751	0.2424	-2.2381	-1.2876	1.001	27000
theta[1,2]	-1.713	0.4116	-2.5732	-0.9601	1.001	19000
theta[2,2]	-1.3514	0.3022	-1.9335	-0.7543	1.0012	9400
theta[3,2]	-1.028	0.3352	-1.6953	-0.3412	1.001	27000
theta[4,2]	-1.0134	0.3174	-1.6467	-0.3692	1.001	27000
theta[5,2]	-1.1515	0.2687	-1.6992	-0.6359	1.0011	12000
theta[6,2]	-1.1604	0.3375	-1.8791	-0.5278	1.0011	16000
theta[7,2]	-1.0645	0.3373	-1.7506	-0.4093	1.001	19000
theta[8,2]	-0.9754	0.2734	-1.5034	-0.4263	1.0011	12000
theta[9,2]	-1.0779	0.3015	-1.6866	-0.493	1.001	27000
theta[10,2]	-1.126	0.2564	-1.6466	-0.6363	1.001	27000
theta[11,2]	-1.1201	0.3276	-1.8054	-0.4968	1.0011	15000
theta[12,2]	-1.0342	0.3406	-1.716	-0.3475	1.0012	8700
theta[13,2]	-1.0915	0.3297	-1.7705	-0.4545	1.001	27000
theta[14,2]	-1.9826	0.3428	-2.7505	-1.392	1.001	26000
theta[15,2]	-1.598	0.2982	-2.1527	-0.9702	1.001	27000
