mean	sd	2.5%	97.5%
delta[9,2]	-0.884	0.2433	-1.3584	-0.4134
delta[1,2]	0.4249	0.2404	-0.0295	0.9206
delta[2,2]	-1.5505	0.3353	-2.1804	-0.8678
delta[3,2]	1.4987	0.2409	1.0463	1.9898
delta[4,2]	1.0639	0.1758	0.7156	1.4011
delta[5,2]	-0.7055	0.2095	-1.1168	-0.2924
delta[6,2]	-0.092	0.2319	-0.5463	0.363
delta[7,2]	-0.8214	0.2982	-1.4024	-0.2326
delta[8,2]	-1.0841	0.1501	-1.3797	-0.7884
delta[9,2]	-1.2176	0.1718	-1.5584	-0.8855
delta[8,3]	0.1649	0.1166	-0.0644	0.3938
delta[9,3]	0.4934	0.1256	0.2486	0.7406
delta[9,4]	-1.7349	0.2494	-2.2247	-1.2541
delta[1,2]	-1.6812	0.4013	-2.5105	-0.9322
delta[2,2]	-1.378	0.3108	-1.9888	-0.7717
delta[3,2]	-0.9945	0.319	-1.6221	-0.3449
delta[4,2]	-0.9808	0.3005	-1.5783	-0.3693
delta[5,2]	-1.1068	0.2622	-1.6412	-0.6105
delta[6,2]	-1.0856	0.3147	-1.7503	-0.4844
delta[7,2]	-1.0206	0.3158	-1.6545	-0.3878
delta[8,2]	-0.9473	0.2604	-1.4436	-0.4142
delta[9,2]	-1.04	0.2877	-1.63	-0.4842
delta[10,2]	-1.0908	0.2514	-1.6046	-0.6105
delta[11,2]	-1.0581	0.3146	-1.7079	-0.4506
delta[12,2]	-0.994	0.3188	-1.6225	-0.3312
delta[13,2]	-1.043	0.3135	-1.684	-0.4294
delta[14,2]	-1.7698	0.3222	-2.4593	-1.1703
delta[15,2]	-1.5374	0.2785	-2.0544	-0.9528
delta[16,2]	-1.5859	0.2686	-2.0962	-1.0337
delta[17,2]	-1.5233	0.2391	-1.9724	-1.0332
delta[18,2]	-1.8136	0.2731	-2.3918	-1.3042
delta[19,2]	-1.7998	0.2938	-2.4287	-1.255
delta[20,2]	-1.7442	0.2692	-2.2981	-1.2273
delta[21,2]	-1.7318	0.307	-2.3795	-1.1494
delta[22,2]	-1.7638	0.3003	-2.3912	-1.1976
delta[23,2]	-1.7251	0.3013	-2.3524	-1.1515
delta[24,2]	-0.8335	0.2606	-1.3554	-0.3246
delta[25,2]	-0.6726	0.2821	-1.2012	-0.0946
delta[26,2]	-0.746	0.3191	-1.3588	-0.0932
delta[27,2]	-0.8439	0.291	-1.4282	-0.2739
delta[28,2]	-0.8508	0.2694	-1.3896	-0.3305
delta[29,2]	-0.8486	0.2917	-1.438	-0.2839
delta[30,2]	-1.6282	0.2853	-2.2205	-1.0938
delta[31,2]	-1.7573	0.309	-2.4168	-1.1986
delta[32,2]	-1.6392	0.2952	-2.2493	-1.0794
delta[33,2]	-1.4903	0.2563	-1.985	-0.9775
delta[34,2]	-1.2909	0.2715	-1.7936	-0.7213
delta[35,2]	-1.2816	0.2942	-1.8585	-0.6997
delta[36,2]	-1.3093	0.3114	-1.9333	-0.7051
delta[37,2]	-1.1868	0.3023	-1.7807	-0.5867
delta[38,2]	-1.1948	0.3137	-1.7972	-0.5688
delta[39,2]	-1.4492	0.3752	-2.1716	-0.7049
delta[40,2]	-1.5097	0.3282	-2.1482	-0.8678
delta[41,2]	-1.5269	0.3689	-2.2468	-0.7969
delta[42,2]	-1.3796	0.2401	-1.868	-0.9204
delta[43,2]	-1.3413	0.2799	-1.9183	-0.7959
delta[44,2]	-1.525	0.2718	-2.1103	-1.0433
delta[45,2]	-1.2683	0.2324	-1.7174	-0.8032
delta[46,2]	-1.1376	0.2511	-1.5976	-0.6063
delta[47,2]	-1.4344	0.2612	-1.9861	-0.9498
delta[48,2]	-1.4025	0.2697	-1.9741	-0.8938
delta[49,2]	-1.3011	0.2186	-1.7337	-0.8646
delta[50,2]	-1.1427	0.2823	-1.6435	-0.5227
delta[51,2]	-1.3697	0.2923	-1.9706	-0.804
delta[52,2]	-1.0414	0.2672	-1.5909	-0.5338
delta[53,2]	-0.9328	0.2914	-1.499	-0.3558
delta[54,2]	-0.8764	0.2633	-1.3802	-0.3459
delta[55,2]	-0.8615	0.2482	-1.3428	-0.3633
delta[56,2]	-1.0016	0.2773	-1.5495	-0.4616
delta[57,2]	-1.0516	0.2785	-1.6057	-0.5146
delta[58,2]	-0.9025	0.2583	-1.4021	-0.3867
delta[59,2]	0.6166	0.3114	0.016	1.2449
delta[59,3]	-0.8593	0.2765	-1.3678	-0.2784
delta[1,2]	0.8097	0.2101	0.3796	1.2122
delta[2,2]	0.9013	0.2054	0.5011	1.3176
delta[3,2]	0.8716	0.254	0.366	1.3826
delta[4,2]	0.8951	0.2346	0.443	1.3805
delta[5,2]	0.847	0.2585	0.3228	1.3587
delta[6,2]	0.5319	0.2034	0.1246	0.9296
delta[1,2]	-0.5921	0.1726	-0.9346	-0.2581
delta[2,2]	-0.3671	0.2143	-0.7711	0.0725
delta[3,2]	-0.6751	0.2869	-1.2996	-0.1643
delta[4,2]	-0.3406	0.2164	-0.7427	0.1025
delta[5,2]	-0.5491	0.2046	-0.9553	-0.1521
delta[6,2]	-0.5184	0.2076	-0.9221	-0.1068
delta[7,2]	-2.4294	0.268	-2.959	-1.8992
delta[8,2]	-2.505	0.2705	-3.0446	-1.9802
delta[9,2]	-2.217	0.4135	-3.0366	-1.4055
delta[10,2]	1.8289	0.3325	1.153	2.4632
delta[1,2]	-2.4718	0.6536	-3.9496	-1.3397
delta[2,2]	-2.1184	0.4341	-2.9653	-1.2642
delta[3,2]	-1.7294	0.5641	-2.8357	-0.6278
delta[4,2]	-1.1256	0.5793	-2.2693	-0.0015
delta[5,2]	-0.9491	0.4124	-1.7633	-0.1309
delta[6,2]	-1.0001	0.3169	-1.6212	-0.3803
delta[7,2]	-1.0796	0.4926	-2.0522	-0.1211
delta[8,2]	-1.169	0.5303	-2.1966	-0.1343
delta[9,2]	-1.3431	0.7496	-2.8183	0.1316
delta[10,2]	-1.2348	0.7735	-2.7365	0.3009
delta[1,2]	0.2308	0.3012	-0.3569	0.8246
delta[2,2]	-0.9238	0.2412	-1.397	-0.453
delta[3,2]	-0.2685	0.279	-0.8199	0.2756
delta[4,2]	-1.0581	0.1957	-1.4432	-0.6736
delta[5,2]	-1.9618	0.6355	-3.2048	-0.7113
delta[6,2]	-0.4427	0.2329	-0.8975	0.0135
delta[7,2]	-0.6736	0.4148	-1.5209	0.129
delta[8,2]	-0.337	0.4608	-1.2231	0.5992
delta[9,2]	-0.1817	0.5727	-1.2531	1.0244
delta[10,2]	-1.0555	0.9242	-3.098	0.5273
delta[11,2]	0.1846	0.4315	-0.6571	1.0342
delta[12,2]	-1.1515	0.865	-3.009	0.3511
delta[13,2]	0.4795	0.3029	-0.1163	1.0658
delta[14,2]	0.2129	0.2249	-0.2247	0.6557
delta[15,2]	1.0945	0.2361	0.6307	1.5565
delta[16,2]	0.9419	0.7229	-0.4699	2.3626
delta[1,2]	-1.151	0.3478	-1.8717	-0.4946
delta[2,2]	-0.9407	0.3448	-1.6042	-0.2412
delta[3,2]	-1.0138	0.3035	-1.6173	-0.4228
delta[4,2]	-0.9129	0.3305	-1.5427	-0.2424
delta[5,2]	-1.2581	0.295	-1.8479	-0.6873
delta[6,2]	-1.5257	0.3842	-2.3512	-0.8492
delta[7,2]	-1.04	0.2714	-1.5548	-0.4866
delta[8,2]	-0.6707	0.3081	-1.3141	-0.0964
delta[9,2]	-0.5564	0.2698	-1.0967	-0.0251
delta[10,2]	-0.4372	0.1705	-0.7695	-0.1005
delta[11,2]	-1.1077	0.3154	-1.7444	-0.5035
delta[12,2]	-0.7253	0.2978	-1.2838	-0.123
delta[13,2]	-1.3019	0.3179	-1.9669	-0.7158
delta[14,2]	-0.8088	0.4061	-1.6104	-0.0082
delta[15,2]	-0.5911	0.3959	-1.3631	0.1935
delta[1,2]	-1.1424	0.2558	-1.6347	-0.6342
delta[2,2]	-1.0097	0.2676	-1.5114	-0.4579
delta[3,2]	-1.3611	0.3109	-2.0211	-0.7941
delta[4,2]	-0.9523	0.2492	-1.4531	-0.4642
delta[5,2]	-0.8137	0.2139	-1.2177	-0.3774
delta[6,2]	-1.0554	0.2674	-1.6115	-0.5588
delta[7,2]	-1.0583	0.2869	-1.5937	-0.4555
delta[8,2]	-1.2405	0.2501	-1.7345	-0.7542
delta[9,2]	-1.3299	0.2869	-1.9203	-0.7873
delta[10,2]	-0.761	0.2251	-1.1852	-0.3013
delta[11,2]	-1.0219	0.248	-1.5364	-0.5634
delta[12,2]	-0.8269	0.1966	-1.2174	-0.4393
delta[1,2]	-0.7548	0.3257	-1.3867	-0.1085
delta[2,2]	-0.2144	0.6214	-1.5438	0.9166
delta[3,2]	-0.2467	0.6054	-1.3885	1.0163
delta[4,2]	-0.4634	0.4699	-1.4243	0.4262
delta[5,2]	0.2959	0.6268	-0.8377	1.6075
delta[6,2]	-0.426	0.5836	-1.4898	0.8446
delta[7,2]	-0.4702	0.5531	-1.5126	0.7048
delta[8,2]	-0.396	0.6742	-1.7597	0.9418
delta[9,2]	0.8001	0.5227	-0.2124	1.8311
delta[10,2]	-0.7178	0.6697	-2.2159	0.4501
delta[11,2]	-0.3935	0.543	-1.4673	0.6737
delta[9,3]	-0.0102	0.4642	-0.9237	0.8952
